Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
KAIRI ST MARY'S ACADEMY PRI  SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3.7,21.6,21.6,10,4,6,12,2,105,111,216,0,0,0,0,0,0,51,8,0,0,CENTRAL,KIAMBU,THIKA,KAMWANGI,CHANIA,GATUNDU NORTH,"(-0.958171, 36.926867)",
PRECIOUS ACADEMY PRI NUR,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.7,4,6,6,2,2,0,2,0,0,24,0,0,0,0,0,0,2,7,0,0,RIFT VALLEY,KERICHO,KERICHO,AINAMOI,AINAMOI,TOWNSHIP,"(-0.348, 35.27982)",
KIWANJA BRIGHT STAR PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.6,8.9,9.7,13,4,8,0,1,61,55,116,0,0,0,0,0,0,3,7,1,5,NAIROBI,NAIROBI,NAIROBI,KASARANI,KAHAWA,KASARANI,"(-1.167863, 36.92328)",
MARANATHA LAINI SABA PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA,"(-1.310351, 36.792681)",
SISAL HIGHLIGHT PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,MOI'S BRIDGE,"(0.859645, 35.145361)",
FURAHA PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.8,8.3,12.5,9,4,2,7,1,69,60,75,0,0,0,0,0,0,7,4,1,1,CENTRAL,KIAMBU,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,JUJA,"(-1.0615, 37.113)",
AGANO JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19.4,25.2,63,10,2,2,0,1,123,129,252,0,0,0,0,5,5,1,2,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,DANDORA,EMBAKASI,"(-1.241307, 36.910896)",
MARY JUNIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,DANDORA,EMBAKASI,"(-1.252687, 36.898421)",
GARDEN ESTATATE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.6,14.6,11.7,8,5,5,0,2,0,0,117,0,0,0,0,0,0,7,4,5,2,NAIROBI,NAIROBI,NAIROBI,KASARANI,ROYSAMBU,KASARANI,"(-1.22388, 36.86495)",
SERSERI PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,KERICHO,KERICHO,AINAMOI,AINAMOI,AINAMOI,"(-0.28205, 35.28008)",
