Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
QUBAA PRY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,23.1,27.8,12.6,20,22,22,0,4,0,0,555,0,0,0,0,0,0,15,9,1,2,COAST,MOMBASA,MOMBASA,ISLAND,MAJENGO,MVITA,"(-4.0502, 39.65756)",
SHILOH LEARNING CENTRE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,GITHURAI,KASARANI,"(-1.207876, 36.896004)",
FUTURE LEADERS ACADEMY  PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.3,14.1,18.8,8,2,4,7,1,61,63,113,0,0,0,0,0,0,5,5,0,1,CENTRAL,MURANG'A,THIKA,GATANGA,KIHUMBUINI,GATANGA,"(-0.9342583, 36.979077)",
CRATER VIEW ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13,13,9.8,3,2,2,0,1,0,0,39,0,0,0,0,0,0,0,3,1,1,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,BAHATI,"(-0.255994, 36.107527)",
TOPMARK PREPARATORY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL,KIRINYAGA,KIRINYAGA,MWEA,TEBERE,MWEA,"(-0.685994, 37.350678)",
LITTLE ANGELS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13,6.5,6.5,4,2,2,0,2,0,0,26,0,0,0,0,0,0,2,0,0,3,COAST,KILIFI,KILIFI,GANZE,GANZE,GANZE,"(-3.538289, 39.689515)",
FAITH ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,,ORDINARY,8.3,9.4,15,8,3,2,0,1,0,0,75,0,0,0,0,0,0,3,6,0,1,CENTRAL,MOMBASA,NYERI,KIENI WEST,GATARAKWA,KIENI,"(-0.254342777, 36.72773806)",
BETHANY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20.3,25.8,56.8,11,3,2,0,3,0,0,284,0,0,0,0,0,0,0,14,0,4,RIFT VALLEY,BARINGO,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,ELDAMA RAVINE,"(0.05133, 35.72249)",
GTMD BLUE BELL SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.9,14.9,16.8,18,8,8,0,4,0,0,268,0,0,0,0,7,11,0,0,3,2,NAIROBI,NAIROBI,NAIROBI,STAREHE,MATHARE,MAKADARA,"(-1.259356, 36.861765)",
THIGUKU JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10,10,5,2,2,2,0,1,0,0,20,0,0,0,0,0,0,1,1,0,0,CENTRAL,KIRINYAGA,KIRINYAGA,NDIA,MWERUA,NDIA,"(-0.555199, 37.232853)",
LITTLE STARS JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.7,13,6.5,2,2,2,0,2,0,0,26,0,0,0,0,0,0,0,3,0,1,WESTERN,KAKAMEGA,LUGARI,LUGARI,LUMAKANDA,LUGARI,"(0.63353, 34.9744)",
NYABOKE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,31.7,34.5,76,11,2,3,0,1,0,0,380,0,0,0,0,0,0,5,7,2,1,COAST,MOMBASA,MOMBASA,LIKONI,SHIKA ADABU,LIKONI,"(-4.09742, 39.63931)",
BLESSED ACTS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.9,10.3,10.3,6,3,3,0,2,0,0,62,0,0,0,0,0,0,5,2,1,1,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.0025, 39.71199)",
NEW KIAMBU ROAD PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,KIAMBAA S/AREA,KIAMBAA,"(-1.2045, 36.83424)",
LITTLE ANGLES KINGS AND QUEENS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.1,21.6,37.8,7,2,2,0,2,0,0,151,0,0,0,0,0,0,8,2,1,3,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.01744, 39.67731)",
STEADY VISION PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.8,6.3,9.5,3,1,1,0,1,0,0,19,0,0,0,0,2,2,0,0,0,0,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.01811, 39.69801)",
GILGAL PRIMARY SCHOOL,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.8,6.8,10.3,6,2,2,0,2,0,0,41,0,0,0,0,0,0,3,3,1,1,RIFT VALLEY,ELEGEYO-MARAKWET,MARAKWET,KAPSOWAR,MARAKWET WEST,KAPSOWAR,"(0.98087, 35.55157)",
YOUNG ANGELS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.1,15.2,11.4,9,6,6,0,4,88,49,137,0,0,0,0,3,5,0,0,2,3,NAIROBI,NAIROBI,NAIROBI,STAREHE,KARIOKOR,STAREHE,"(-1.270663, 36.842876)",
MORVERON PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.7,2.7,4,3,1,1,0,1,0,0,8,0,0,0,0,0,3,0,0,0,0,CENTRAL,MURANG'A,MURANGA,KAHURO,MURARANDIA,KIHARU,"(-0.726418611, 36.89377333)",
MONTEZUMA JUNIOR PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3.3,4.3,3.3,3,2,2,0,0,0,0,13,0,0,0,0,0,4,0,0,2,1,WESTERN,KAKAMEGA,KAKAMEGA,NAVAKHOLO,BUNYALA WEST,LURAMBI,"(0.428999, 34.611974)",
EUNICE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,11.9,13.4,8.9,8,6,6,0,2,0,0,107,0,0,0,0,0,0,6,3,6,3,CENTRAL,NYERI,NYERI,MUNICIPALITY,MUKARO,NYERI TOWN,"(-0.37798, 36.93678)",
ST. PETERS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.6,12.6,25.3,8,2,2,0,2,0,0,101,0,0,0,0,0,0,7,1,0,0,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.01665, 39.67868)",
LENA PREPARATORY COMPLEX PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,8.7,8.7,10.2,7,3,3,0,2,0,0,61,0,0,0,0,3,4,0,0,0,1,WESTERN,BUNGOMA,BUNGOMA,MALAKISI,LWANDANYI,SIRISIA,"(0.79132, 34.380103)",
MARALAL ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,19.5,14.3,17.9,15,6,6,0,2,0,0,215,0,0,0,0,0,0,7,4,3,4,RIFT VALLEY,SAMBURU,SAMBURU,KIRISIA,SAMBURU WEST,MARALAL TOWN,"(1.090779, 36.6929)",
KIPTANDANI BAPTIST PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,SABOTI,SABOTI,KINYORO,"(0.999909, 34.892756)",
ST. PETER'S CLAVERS PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,24.1,14.2,26.8,17,4,5,0,2,0,0,241,1,9,0,0,0,0,0,0,2,3,NAIROBI,NAIROBI,NAIROBI,STAREHE,STAREHE,STAREHE,"(-1.283621, 36.830297)",
ALSAN JUNIOR ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5.4,6.3,19,6,1,1,0,1,0,0,38,0,0,0,0,0,0,2,5,0,2,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KINOO,KABETE,"(-1.2593, 36.71912)",
HESHIMA JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,5,11.7,7,1,2,0,2,0,0,35,0,0,0,0,0,0,0,0,1,1,RIFT VALLEY,BOMET,BURETI,SOTIK,SOTIK,KAMUNGEI,"(-0.699847, 35.203737)",
TEDHILL ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN,BUNGOMA,BUNGOMA,TONGAREN,NAITIRI,KIMILILI,"(0.79567, 34.837051)",
ST JOSEPH PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL,KIAMBU,KIAMBU,KIKUYU,MUGUGA,KABETE,"(-1.19671, 36.65657)",
OUTSPAN PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,13.4,11.8,7,4,4,0,2,0,0,94,0,0,0,0,0,0,0,0,2,2,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KESSES,ELDORET SOUTH,KIPCHAMO,"(0.448173, 35.306928)",
MIMA ELLITE ACACDEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,77.6,48.5,24.3,8,8,8,0,4,0,0,388,0,0,0,0,0,0,2,3,2,1,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,SABOTI,SABOTI,KINYORO,"(0.997599, 34.864922)",
ACACIA DAM,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.8,4.1,7.3,7,2,2,0,1,0,0,29,0,0,0,0,0,0,5,1,0,1,CENTRAL,NYERI,NYERI,KIENI EAST,GAKAWA,KIENI,"(-0.146535, 37.019437)",
TUMAINI GRAMMAR SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22,33,11,2,3,3,0,1,0,0,66,0,0,0,0,0,0,2,1,1,2,RIFT VALLEY,NANDI,NANDI NORTH,KABIYET,MOSOP,KABIYET,"(0.41526, 35.05982)",
BANIS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,15.7,11.8,23.5,8,2,2,0,1,0,0,94,0,0,0,0,0,0,4,2,4,1,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,KIPLOMBE,"(0.638315, 35.312947)",
GREAT VISION PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.3,9.3,9.3,4,2,2,0,1,0,0,37,0,0,0,0,0,0,0,4,1,0,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KARAI,KABETE,"(-1.24426, 36.62497)",
SUNRISE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,GIRLS ONLY,DAY ONLY,ORDINARY,9.4,15.7,15.7,3,1,2,0,1,0,0,47,0,0,0,0,0,0,3,2,0,1,WESTERN,BOMET,KAKAMEGA,KABRAS,SHIRUGU,MALAVA,"(0.467824, 34.762066)",
CEREBRAL PASYL FOUNDATION CENTRE SPECIAL UNIT,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,SPECIAL SCHOOL,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,3,7,0,0,2,2,COAST,MOMBASA,MOMBASA,ISLAND,TUDOR,CHANGAMWE,"(-4.032357, 39.663923)",
WISDOM JUNIOR PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.2,11,27.5,5,1,1,0,2,0,0,55,0,0,0,0,3,3,0,0,0,1,CENTRAL,MURANG'A,MURANGA,KAHURO,MURARANDIA,KIHARU,"(-0.730644722, 36.93079472)",
GENESIS IMMACULATE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,28.4,24.9,49.8,8,2,2,0,1,0,0,199,0,0,0,0,3,4,0,0,1,1,NAIROBI,NAIROBI,NAIROBI,STAREHE,HURUMA,STAREHE,"(-1.255643, 36.869591)",
HOLY ROSARY PRI,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,41.7,32.1,34.8,13,0,12,0,14,0,0,417,2,8,0,0,0,0,0,0,5,3,RIFT VALLEY,KIAMBU,UASIN GISHU,TURBO,ELDORET NORTH,TAPSAGOI,"(0.628583, 35.048281)",
ELDORET PREPARATORY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,9.1,14.8,0,8,0,0,0,0,0,0,118,0,0,0,0,0,0,6,7,9,8,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,PIONEER,"(0.49606, 35.28432)",
BENEDITO HIGHWAY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,24.8,31,23.3,12,6,10,0,2,0,0,372,0,0,0,0,0,0,4,11,4,3,CENTRAL,MURANG'A,MURANGA,KIHARU,TOWNSHIP,KIHARU,"(-0.735750277, 37.15363833)",
PATRIANA PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6,1.7,2.4,7,2,3,0,1,0,0,12,0,0,0,0,0,0,1,1,0,1,CENTRAL,NYANDARUA,NYANDARUA,NDARAGWA,KANYAGIA,NDARAGWA,"(-0.106973611, 36.46419111)",
RED ROSES ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.6,8.6,10.8,5,2,2,0,1,0,0,43,0,0,0,0,0,0,4,1,0,1,CENTRAL,NYERI,NYERI,KIENI EAST,KABARU,KIENI,"(-0.32151, 37.08435)",
TRINITY ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,19.1,38.2,23.9,5,4,4,0,2,0,0,191,0,0,0,0,0,0,8,2,0,0,WESTERN,KIRINYAGA,LUGARI,LIKUYANI,NZOIA,LUGARI,"(0.84339, 35.08626)",
BENUM EDUCATION CENTRE - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,23.2,28.5,61.8,13,4,2,0,1,0,0,371,0,0,0,0,5,11,0,0,2,1,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,RIRUTA,DAGORETTI,"(-1.30189, 36.74208)",
NZOIA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,16,20,20,8,4,4,0,2,0,0,160,0,0,0,0,0,0,2,8,1,2,WESTERN,KAKAMEGA,LUGARI,LIKUYANI,SINOKO,LUGARI,"(0.88978, 35.04239)",
UPENDO RESCUE CENTRE - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,SPECIAL SCHOOL,4.9,8,0,8,0,0,0,0,0,0,64,0,0,0,0,0,0,13,0,2,0,NAIROBI,NAIROBI,NAIROBI,MAKADARA,MUKURU NYAYO,MAKADARA,"(-1.305628, 36.840153)",
BOOKER ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,22.7,32.3,11.4,19,27,27,0,8,0,0,613,0,0,0,0,0,0,19,8,6,4,WESTERN,KAKAMEGA,BUTERE/MUMIAS,MUMIAS,NABONGO,MUMIAS,"(0.357511047, 34.50256017)",
ACK KANJAI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20.4,20.4,18.1,8,4,5,0,2,0,0,163,0,0,0,0,5,3,0,0,1,4,CENTRAL,KIAMBU,KIAMBU,GITHUNGURI,GITHUNGURI,GITHUNGURI,"(-1.06351, 36.79693)",
WEBUYE KINDERGARTEN & JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.2,19.4,25.8,8,3,3,0,2,0,0,155,0,0,0,0,0,0,5,4,2,5,WESTERN,BUNGOMA,BUNGOMA,WEBUYE,WEBUYE,WEBUYE,"(0.605103, 34.761989)",
KIAMBU HILCREST PRI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.7,5,2,4,4,6,0,4,0,0,20,0,0,0,0,0,0,2,1,1,0,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,WAGUTHU,KIAMBAA,"(-1.15927, 36.77609)",
STARY ACADEMY-PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.2,17.8,22.3,10,4,4,0,1,0,0,178,0,0,0,0,5,6,0,0,2,1,CENTRAL,NYERI,NYERI,TETU,GAAKI,TETU,"(-0.501341388, 37.00943694)",
BLUE VIEW ACDEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.8,11.1,25.3,16,3,4,0,2,0,0,177,0,0,0,0,5,7,0,0,2,2,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,WAITHAKA,DAGORETTI,"(-1.277091, 36.711899)",
AMANI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5,7.5,2.5,2,3,3,0,2,0,0,15,0,0,0,0,1,1,0,1,2,1,WESTERN,VIHIGA,VIHIGA,LUANDA,CENTRAL BUNYORE,EMUHAYA,"(0.09797, 34.609532)",
JM GOODHOPE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,15.1,15.1,8.1,8,8,7,0,2,0,0,121,0,0,0,0,0,0,6,2,2,3,CENTRAL,LAIKIPIA,NYANDARUA,NDARAGWA,KAHUTHA,NDARAGWA,"(-0.101700555, 36.59201167)",
NJORO TOWNSHIP PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,40.7,45.6,38,25,20,10,0,4,0,0,1140,5,23,0,0,0,0,0,0,1,1,RIFT VALLEY,NAKURU,NAKURU,NJORO,MOLO,NGATA,"(-0.323827, 35.953201)",
JUPITER ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20.9,23.5,26.9,8,3,4,0,2,0,0,188,0,0,0,0,0,0,4,5,1,1,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MAINA,"(0.05474, 36.35434)",
LAKESIDE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.2,17,42.5,5,1,1,0,2,0,0,85,0,0,0,0,0,0,4,2,2,3,WESTERN,BUSIA,BUSIA,FUNYULA,NANGUBA,FUNYULA,"(0.224, 34.024852)",
PIVOT ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.8,11.8,15.7,8,3,3,10,4,56,38,94,0,0,0,0,3,5,0,0,0,0,CENTRAL,MURANG'A,THIKA,GATANGA,KIHUMBUINI,GATANGA,"(-0.941543611, 36.99044889)",
FALLING WATERS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,19.2,24.5,33.6,11,4,4,0,2,0,0,269,0,0,0,0,0,0,9,5,4,7,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,"(0.03571, 36.35611)",
WORLD HOPE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,14,0,3.1,0,4,5,0,1,0,0,28,0,0,0,0,0,0,0,2,1,2,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,"(0.02185, 36.36017)",
SERAN GLORY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,ROYSAMBU,KASARANI,"(-1.203445, 36.873131)",
DRIVE INN PRI SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,50.4,61,48.8,24,12,18,0,0,0,0,1463,5,24,0,0,0,0,0,0,2,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,RUARAKA,KASARANI,"(-1.246951, 36.870532)",
MUTHARA PROGRESSIVE ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.3,10.3,18,7,2,2,0,1,0,0,72,0,0,0,0,0,0,2,5,0,0,CENTRAL,KIRINYAGA,KIRINYAGA,CENTRAL-KIRINYAGA,INOI,KERUGOYA/KUTUS,"(-0.423114, 37.258684)",
GRAMO JOY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.2,20.3,31.9,11,4,3,0,2,0,0,223,0,0,0,0,0,0,3,10,3,1,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,MUKURU KWA NJENGA,EMBAKASI,"(-1.31523, 36.886833)",
BRIGHTSTAR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4,2,2,2,1,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,CENTRAL,MURANG'A,MARAGUA,KANDARA,ITHIRU,KANDARA,"(-0.881299, 36.982688)",
ZIWANI JUINIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3.4,4.3,8.5,4,1,1,0,1,0,0,17,0,0,0,0,0,0,1,4,2,1,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,"(0.03906, 36.38825)",
LIGHT JUNIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,9.7,13.6,17,5,2,2,0,2,0,0,68,0,0,0,0,0,0,2,5,2,1,RIFT VALLEY,UASIN GISHU,UASIN GISHU,MOIBEN,ELDORET EAST,MEIBEKI,"(0.831843, 35.432768)",
SARGULL EDUCATIONAL CENTRE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2,0.4,1,5,1,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,RIFT VALLEY,KAJIADO,KAJIADO,ISINYA,KAJIADO NORTH,KITENKELA,"(-1.48219, 36.9609)",
STARWA ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,10,10,15,3,1,1,0,0,0,0,30,0,0,0,0,0,0,3,0,0,0,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,WAGUTHU,KIAMBAA,"(-1.18827, 36.79398)",
TWINSA SCH PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,19.6,49,5,1,1,0,1,45,53,98,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,DANDORA,EMBAKASI,"(-1.254181, 36.8925)",
VISIONS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.3,15.5,7.8,2,2,2,0,1,0,0,31,0,0,0,0,0,0,0,3,0,0,CENTRAL,MURANG'A,MARAGUA,MARAGUA,ICHAGAKI,MARAGWA,"(-0.811536, 37.106022)",
SHABELT ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.7,15.7,20.1,9,4,3,0,2,0,0,141,0,0,0,0,0,0,5,4,2,1,WESTERN,KAKAMEGA,BUTERE/MUMIAS,MATUNGU,MATUNGU,MATUNGU,"(0.390041516, 34.47791843)",
GOOD DAY EDUCATIONAL CENTRE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,8,2,3,0,1,0,0,0,0,0,0,0,0,0,2,7,2,1,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,KARIOBANGI SOUTH,EMBAKASI,"(-1.259568, 36.887594)",
